Comment ID,Comment,Clean_Comment,Aspect,Sentiment,BIO_Tags
Ugwz2cCktjhH_t9cRy14AaABAg,"mna ngert mahasiswa data kayak gtu. yg terlihat dimata mereka mbg sarang korupsi, yg jadi pemilik sppg adalah polisi, tentara dan dpr. tapi dia gak pernh lihat studi banding siapa yg kerja disitu, dri kalangan mna pekerja tu. menyerap tenaga kerja brp tiap sppg? mereka dpt bahan2 memsak drimna? impor ato dri hasil tani. apakh pikiran mereka sampe situ?",mna ngert mahasiswa data kayak gtu lihat mata makan gizi gratis sarang korupsi jadi milik sppg polisi tentara dpr dia gak pernh lihat studi banding siapa kerja situ dri kalang mna kerja tu serap tenaga kerja brp tiap sppg dpt bahan memsak drimna impor ato dri hasil tani apakh pikir sampe situ,,negative,
UgwSwoeD7v-Tc9SAFzB4AaABAg,Bubarkan MBG merugikan negara . Toh kalau ditahan2 pasti makin ngawur. Lebih baik untuk infrastruktur dan kesejahteraan rakyat dg harga yg stabil,bubar makan gizi gratis rugi negara kalau tahan makin ngawur lebih baik infrastruktur sejahtera rakyat dg harga stabil,,negative,
UgxTb40Ay2EOQWonk7Z4AaABAg,"Koruptor kok di suruh mikir si bos, 😂😂😂😂😂😂😂😂😂",koruptor kok suruh mikir si bos,,negative,
UgyGdn3cEVwovDqRIhd4AaABAg,Sekalian kupas terlalu banyak birokrasi dan itu fixed cost yg juga tinggi dan sehari 6 juta sebagai Mitra dan fakta bagaimana mgkn belum keluar layaknya ijin kok sudah dapat insentif misalnya,sekali kupas terlalu banyak birokrasi itu fixed cost juga tinggi hari juta mitra fakta bagaimana mgkn keluar layak ijin kok dapat insentif misal,,negative,
Ugz9IpGaiLFrQG-dxx54AaABAg,"OMONG KOSONG,,GAK MAMPU MINGGIR GANTI REZIM",omong kosonggak mampu minggir ganti rezim,,negative,
Ugz8Gd14lYFF3d6xMbB4AaABAg,ngukurnya gimana bahwa betul angka itu mengalir ke petani???,ngukurnya gimana betul angka alir tani,,negative,
UgzyiXPZq1q8-IbVwiV4AaABAg,"MBG harus dihentikan,,,,, ,15. billion ,per tahun",makan gizi gratis henti billion per tahun,,negative,
UgxBxZIQ1f99SsBVHhl4AaABAg,"Tdk usah membela pemerintah, jgn omong presiden tdk bersalah, krn yg korupsi bawahan, km klu punya modal 1 T apa mau mengangkat manajemen asal asalan, mana ada petinggi MBG yg profesional sesuai kebutuhan MBG, yg diangkat adalah orang2 dekatnya, dari dulu skenario koruptor itu mengangkat orang yang bs diatur sesuai dgn kemauan koruptor",tdk usah bela perintah jgn omong presiden tdk salah krn korupsi bawah km kalau punya modal t apa mau angkat manajemen asal asal mana petinggi makan gizi gratis profesional sesuai butuh makan gizi gratis angkat orang dekat dulu skenario koruptor angkat orang bs atur sesuai dgn mau koruptor,,negative,
Ugy189S5tFjJw_ogQNV4AaABAg,Harus dihukum berat yg tega MBG keracunan tega,hukum berat tega makan gizi gratis racun tega,,negative,
Ugxn43lYnRhAhWevNat4AaABAg,⭐⭐🌜💫🌛⭐⭐,,,negative,
Ugyy9hTzyCOjsMzX_nd4AaABAg,"Ketua B6N sendiri mengatakan bahwa semua P4rtai meliliki dapur tidak terkecuali 4parat TN1 dan Polr1, kenapa sebegitu tertariknya mereka, K3tua  B6N juga mengatakan dapur dapur itu di sewa 4 Thn  dan sewanya selama 4 tahun di bayar di muka  4,8 M / dapur  (estimasi bodohnya aja ini, beli tanah ngutang 500 m2 x 2,5 jt / meter = 1,25 M + bangung Dapur utang 1 M ) ketika di bayar pemerintah 4, 8 M masih ada sisa 2, 25 M tanpa kerja , belum lagi dapat 5 ribu dari anggaran pe Ompreng (perorang ) 15 ribu  jika ada 1000 ompreng 5 juta / perhari hanya makan tidur.<br>ini adalah Model Korupsi yg di legalkan kan.",ketua bn sendiri kata semua prtai meliliki dapur kecuali parat tn polr begitu tarik ktua bn kata dapur dapur sewa thn sewa lama tahun bayar di muka m dapur estimasi bodoh aja beli tanah ngutang m x jt meter m bangung dapur utang m di bayar perintah m ada sisa m kerja lagi ribu anggar pe ompreng orang ribu ada ompreng juta hari makan tidur adalah model korupsi di legal kan,,negative,
Ugx1qmtojuJexPyIPqB4AaABAg,"Indonesia itu negara yang terlalu &quot;luas&quot; dan kompleks untunk menjalankan program sekelas MBG,  dan biaya yang  dikeluarkan juga sangat besar 268 T.  Intinya kembali lagi kepengelolanya cuma butuh satu hal : INTEGRITAS",indonesia negara terlalu quotluasquot kompleks untunk jalan program kelas makan gizi gratis biaya keluar sangat besar t inti lagi kelola cuma butuh satu integritas,,negative,
UgxUT-TzJMP8XU9iJit4AaABAg,"<a href=""https://www.youtube.com/watch?v=SVI8xheP-j4&amp;t=138"">2:18</a> Hati-hati... terlalu sering menang di 👑B A N T E N G H O K I💗 bisa bikin susah move on dari rasa bahagia 😭🏆",hatihati terlalu sering menang b a n t e n g h o k i bikin susah move on rasa bahagia,,negative,
UgyrOZB7O1spIFV8nyl4AaABAg,"Masih banyak rakyat mental korupsi, apalagi orang kampung tabungan tanah milyaran, rekening banyak uang, rumah sederhana tapi ngaku miskin dan membutuhkan bantuan tunai sosial",banyak rakyat mental korupsi orang kampung tabung tanah milyaran rekening banyak uang rumah sederhana ngaku miskin butuh bantu tunai sosial,,negative,
UgyN1Kcri6oFWVcyPHF4AaABAg,"Tata kelola nya salah,coba saja ortu penerima mbg diberikan mengelola dana mbg pasti gk akan ada korupsi",tata kelola nya salahcoba ortu terima makan gizi gratis beri kelola dana makan gizi gratis gk ada korupsi,,negative,
UgwhLtuO2NDQEz2E5Ex4AaABAg,"Sayangnya, yang koruptor g nonton video ini",sayang koruptor g nonton video,,negative,
UgwNPfFcpi2orLPzn6Z4AaABAg,Pas banget hari ini ponakan saya dapet mbg ada belatung nya awokawok😂,pas banget hari ponakan dapet makan gizi gratis belatung nya awokawok,,negative,
UgwECOpON4qOrrWuS5t4AaABAg,"Pak gema harus wajib kasih video ini ku ibu kepala BGN, jangan sampai video ini cuma buat mengedukasi masyarakat ajh, tapi juga harus pemerintah nya juga. Jangan disia-siakan video seperti ini seharusnya sama pemerintah.",pak gema wajib kasih video ku ibu kepala bgn jangan video cuma buat edukasi masyarakat ajh perintah nya juga jangan disiasiakan video ini sama perintah,,negative,
UgzMR7vbbVnjuquYsZx4AaABAg,"niat BAIK dgn pe-PILIH-an eksekutor yg BURUK dipengaruhi factor U &amp; tidak tertutup kemungkinan SANTET krn aura beliau masih otw menuju menikmati jalan-Nya, sehingga ter-TUTUP 🙉 atau menjadi tuli &amp; buta 🙈 mata hati saat dipertontonkan tangisan rakyat. Mungkin pula krn idiom beliau yaitu &quot;To keep your friends close &amp; your enemies CLOSER&quot; mengakibatkan SALAH PILIH TEMAN. Terbukti TEMAN PILIHAN beliau adalah PE-nyiram &amp; bukan yg DI-siram air keras.",niat baik dgn pilih eksekutor buruk pengaruh factor u amp tutup mungkin santet krn aura beliau otw tuju nikmat jalan tutup jadi tuli amp buta mata hati tonton tangis rakyat mungkin krn idiom beliau quotto keep your friends close amp your enemies closerquot akibat salah pilih teman bukti teman pilih beliau siram amp bukan siram air keras,,negative,
Ugx6Ram2-8rInHsHBnp4AaABAg,KDMP juga calon mangkrak,kdmp calon mangkrak,,negative,
Ugz0ojSUyy3dGxqtvkt4AaABAg,Sasaran MBG sebaiknya untuk sekolah negeri dan swasta yg tidak elit. Begitu pendapatku daripada mengukur kemampuan orang tua.,sasar makan gizi gratis baik sekolah negeri swasta tidak elit dapat ukur mampu orang tua,,negative,
